university,country,language,non_eng_level,IELTS_min,GPA_min,SAT_min,accept-rate,international_cost_min,international_cost_max,local_rank,global_rank,scholarship,is_public,stud-faculty-ratio,,link
University of Split,Croatia,Croatian,0,B2,2.0,1200,87,2115,13947,2/14,1201-1400,yes,Public,1:17 - 1:20,,https://www.unist.hr/eng
University of Rijeka,Croatia,Croatian,0,B2,2.0,1270,89,2900,2900,3/14,1201-1400,yes,Public,1:23,,https://uniri.hr/en/
Josip Juraj Strossmayer University of Osijek,Croatia,Croatian,0,B2,2.0,0,65,1450,2320,4/14,1201-1400,yes,Public,1:13,,https://www.unios.hr/en/
University of Zadar,Croatia,Croatian,0,B2,2.0,0,87,5,5000,5/14,1201-1400,yes,Public,1:14,,https://www.unizd.hr/eng/
University of Dubrovnik,Croatia,Croatian,0,B2,2.5,0,88,1276,12080,3/14,1000-1500,yes,Public,1:6,,https://www.unidu.hr/eng
Juraj Dobrila University of Pula,Croatia,Croatian,0,B2,2.5,0,50,1160,12080,6/14,1401+,yes,Public,1:15,,https://www.unipu.hr/en
Catholic University of Croatia,Croatia,Croatian,0,B2,3.0,0,83,3169,3712,10/14,6637,yes,Private,1:11.,,https://www.unicath.hr/en
University North,Croatia,Croatian,0,B2,0,0,50,1450,3480,7/14,1501+,yes,Public,1:18,,https://www.unin.hr/en/
Zagreb School of Economics and Management (ZSEM),Croatia,English,6.0,0,0,0,40,6919,9280,1/14,Rankings 2022: Ranked within the TOP 200 globally and TOP 60 in Europe,yes,Private,Highly favorable.,,https://zsem.hr/en/
VERN' University,Croatia,Croatian,0,B2,2.5,0,77,5800,5800,"As a private institution, VERN' is not typically included in the same national rankings as public universities",not listed in major global rankings,yes,Private,1:9,,https://www.vernuni.eu/
University of Cyprus,Cyprus,Greek,0,B2,3.0,1200,60,7928,7928,1/29,452,yes,Public,1:20,,https://www.ucy.ac.cy/en/
Cyprus University of Technology,Cyprus,Greek.,0,B2,2.5,0,60,7878,7878,2/29,601-800,yes,Public,1:12.6,,https://www.cut.ac.cy/?languageId=1
University of Nicosia,Cyprus,English,5.5,0,0,0,95,17840,31120,1-2/29,501-600,yes,Private,"Not explicitly stated in a single clear ratio, but UNIC hosts more than 12,500 students from over 100 countries.",,https://www.unic.ac.cy/
European University Cyprus,Cyprus,English,6.0,0,2.5,0,60,10438,12404,1/29,801-1000,yes,Private,1:14.2,,https://euc.ac.cy/en/
Frederick University,Cyprus,English,6.0,0,0,0,n,9280,11600,Recognized among the top universities in Cyprus,1001-1200,yes,Private,1:10,,https://www.frederick.ac.cy/en/
Neapolis University Pafos,Cyprus,English,5.5,0,0,1200,75,3480,17400,Ranked among the top universities in Cyprus,"6,998th globally (based on H-index of its scientists). Not consistently listed in major overall global rankings",yes,Private,1:10 - 1:12,,https://www.nup.ac.cy/
Open University of Cyprus,Cyprus,Greek,0,B2,0,0,n,10486,21572,3rd rank among public universities in Cyprus based on H-index in AD Scientific Index,"AD Scientific Index 2025: 1,927th globally (based on H-index for public universities) and 3,405th globally (overall for all types of institutions).",yes,Public,Not explicitly published as a fixed ratio,,https://www.ouc.ac.cy/index.php/en/
Eastern Mediterranean University (Northern Cyprus),Cyprus,English,6.5,0,2.5,0,n,4124,14840,"Ranked #2 in Cyprus, #1 in Northern Cyprus ",611-620,yes,Public,1:19,,https://www.emu.edu.tr/en/
Near East University (Northern Cyprus),Cyprus,English,5.5,0,0,0,n,6452,14750,#1 in Northern Cyprus,601-800,yes,Private,1:22,,https://neu.edu.tr/en/
Cyprus International University (Northern Cyprus),Cyprus,English,5.5,0,0,0,n,3595,5448,Ranked among the top universities in Northern Cyprus and within Cyprus.,601-800,yes,Private,1:20,,https://ciu.edu.tr/en/
Girne American University (Northern Cyprus),Cyprus,English,5.5,0,2.25,740,n,3828,4640,Ranked among the top universities in Northern Cyprus.,"AD Scientific Index 2024: 17,858th globally. Not consistently listed in major overall global rankings",yes,Private,"Not explicitly stated with a precise number, but the university states it has ""one of the highest Ph. D. -to-student ratios""",,https://www.gau.edu.tr/en/ 
The Cyprus Institute,Cyprus,English,6.5,0,0,0,n,7000,7500,"As a specialized research institution, it is not typically ranked against traditional comprehensive universities in national lists in the same way.",Not consistently listed in major overall global university rankings ,yes,Public,Low student-faculty ratio,,	https://www.cyi.ac.cy/
Charles University (Prague),Czechia,Czech,0,B2,2.0,1240,37,8236,8236,1/70,265,yes,Public,1:11,,https://cuni.cz/uken-1.html 
Masaryk University (Brno),Czechia,Czech,0,B2,0,0,58,3256,4549,2/70,430,yes,Public, 1:12.5,,https://www.muni.cz/en/
Czech Technical University in Prague (CTU),Czechia,Czech,0,B2,2.0,0,70,4730,4730,3/70,189,yes,Public,1:8,,https://www.cvut.cz/en/ 
Palacký University Olomouc,Czechia,Czech,0,B2,2.2,0,35,14700,14700,3/70,668,yes,Public,1:14,,https://www.upol.cz/en/ 
Brno University of Technology,Czechia,Czech,0,B2,2.0,0,61,1160,3712,4/70,575,yes,Public,a low student-to-academic staff ratio,,https://www.vut.cz/en/
"University of Chemistry and Technology, Prague",Czechia,Czech,0,B2,2.0,0,72,3276,5259,8/70,638,yes,Public,1:20,,"https://www.vscht.cz/en/  (Main portal), https://study.vscht.cz/  (Prospective students portal) "
Czech University of Life Sciences Prague,Czechia,Czech,0,B2,0,1400,57,596,1907,3/70,761-770,yes,Public,1:18,,https://www.czu.cz/en/
University of Ostrava,Czechia,Czech,0,B2,2.0,0,75,3954,4503,11/70,1201-1400,yes,Public,1:21.6,,https://www.osu.eu/en/ 
Technical University of Liberec,Czechia,Czech,0,B2,0,0,34.5,4000,4000,10-15/70,1201-1400,yes,Public,1:16 to 1:20,,https://www.tul.cz/en/ 
University of Pardubice,Czechia,Czech,0,B2,2.6,0,64,2000,3000,10-15/70,1201-1400,yes,Public,1:14,,https://www.upce.cz/en/ 
Mendel University in Brno,Czechia,Czech,0,B2,2.2,0,44.5,3825,3825,9-15/70,851-900,yes,Public,1:16,,https://mendelu.cz/en/ 
"University of Economics, Prague",Czechia,Czech,0,B2,2.5,0,60,5800,5800,top 3 universities,201-250 (Social Sciences and Management),yes,Public,1:23,,https://www.vse.cz/english/ 
University of West Bohemia,Czechia,Czech,0,B2,2.8,0,57,0,3529,11-12/70,1201-1400,yes,Public,1:15,,https://www.zcu.cz/en/ 
Tomas Bata University in Zlín,Czechia,Czech,0,B2,0,0,54.5,2124,2549,10-15/70,1201-1400,yes,Public,1:16,,https://www.utb.cz/en/ 
University of Copenhagen,Denmark,Danish,0,C1,3.6,0,25,0,0,1/8,100,yes,Public,1:18,,https://www.ku.dk/english/ 
Aarhus University,Denmark,Danish,0,C1,3.4,0,42,2016,2608,2/8,100,yes,Public,1:4,,https://international.au.dk/ 
Technical University of Denmark (DTU),Denmark,Danish,0,C1,3.0,0,42,0,17400,3/8,109,yes,Public,1:4,,https://www.dtu.dk/english/ 
University of Southern Denmark,Denmark,Danish,0,C1,3.0,0,35,7540,7540,4/8,303,yes,Public,1:8 or 1:16,,https://www.sdu.dk/en/ 
Aalborg University,Denmark,Danish,0,C1,3.0,0,40.5,1950,3900,5/8,330,yes,Public, 1:7,,https://www.en.aau.dk/ 
Copenhagen Business School (CBS),Denmark,Danish,0,C1,3.0,0,45,9280,9280,6/8,(Business & Management Studies): 15th globally,yes,Public,1:30,,https://www.cbs.dk/en/ 
Roskilde University,Denmark,Danish,0,C1,3.0,0,33,10324,14500,7/8,681-690,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:15,,https://ruc.dk/en/ 
IT University of Copenhagen,Denmark,English,6.5,0,3.0,0,45,15540,15540,"Not specifically ranked nationally by major global ranking bodies as a separate entity from general Danish university rankings, but is a top specialized IT institution in Denmark.","ITU is a young and specialized university, and as such, it is not consistently listed in the overall top 1000 of major global rankings","Yes, but extremely limited and highly competitive for non-EU/EEA students. ITU offers 3-4 Danish State Scholarships to exceptionally talented non-EU/EEA MSc applicants each year. These scholarships cover free tuition and partially cover living expenses.",Public,1:13,,https://en.itu.dk/ 
University of Tartu,Estonia,"Estonian, English", 6.0,B2,2.8,0,31.5,4060,7656,1/19,362,yes,Public, 7:1.,,https://ut.ee/en 
Tallinn University of Technology (TalTech),Estonia,"Estonian, English",6.0,B2,3.1,0,72,3944,6960,2/19,635,yes,Public,9:1.,,https://taltech.ee/en 
Tallinn University,Estonia,"Estonian, English",5.5,B2,3.4,0,85,7020,7020,3/19,901-950,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,19:1,,https://www.tlu.ee/en 
Estonian University of Life Sciences,Estonia,"Estonian, English",5.5,B2,2.4,0,88,4408,6032,3/19,Rankings by Subject 2024 (Agriculture & Forestry): 93rd globally. ,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,7:1,,https://www.emu.ee/en/ 
Estonian Academy of Arts,Estonia,"Estonian, English",6.0,B2,0,0,n,4292,6032,Not specifically ranked nationally by major global ranking bodies as a general university. It is the top arts academy in Estonia.,Rankings by Subject 2024 (Art & Design): 151-200 globally.,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:5,,https://www.artun.ee/en 
Estonian Academy of Music and Theatre,Estonia,"Estonian, English",5.5,B2,0,0,n,3364,4640,"As a specialized university, it is not ranked in general national university lists. It is the top institution in Estonia for music and theatre education.",Rankings by Subject 2024 (Performing Arts): 51-100 globally.,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:2,,https://eamt.ee/en/ 
Estonian Business School,Estonia,"Estonian, English",5.5,B2,2.4,0,62,8096,9048,Ranked as the Number 1 Business School in Estonia, Rankings by Subject 2025 (MBA): 251+ for Full-time MBA Rankings - Global and 76th in Full-time MBA Rankings - Europe.,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Private,1:10,,https://ebs.ee/en 
University of Helsinki,Finland,"Finnish, Swedish, English",6.5,B2,0,0,14.5,12760,12760,1/13,116,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,12:1 to 16:1,,https://www.helsinki.fi/en 
Aalto University,Finland,"Finnish, Swedish, English",6.5,B2,3.5,1250,19,13920,17400,1/13,114,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:13,,https://www.aalto.fi/en 
University of Turku,Finland,"Finnish, Swedish, English",6.5,B2,0,800,18,11600,11600,3/13,222,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public, 16:1,,https://www.utu.fi/en 
Tampere University,Finland,"Finnish, English", 6.5,B2,0,0,17.5,11600,11600,4/13,423,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,9:1,,https://www.tuni.fi/en 
University of Oulu,Finland,Finnish,0,B2,2.8,1050,20,11600,11600,5/13,342,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:4,,https://www.oulu.fi/en
University of Jyväskylä,Finland,Finnish,0,B2,0,0,16,11600,11600,7/13,498,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:5,,https://www.jyu.fi/en 
University of Eastern Finland,Finland,"Finnish, English",6.0,B2,3.5,0,21,11600,11600,5/13,604,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:4,,https://www.uef.fi/en 
LUT University (Lappeenranta-Lahti University of Technology),Finland,"Finnish, English",6.0,B2,3.0,1250,15,9280,9280,Consistently ranked among the top universities in Finland.  5/13,397,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,19:1,,https://www.lut.fi/en
Åbo Akademi University,Finland,Swedish,0,B2,2.75,0,14,0,0,8/13,643,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:17,,https://www.abo.fi/en 
University of Vaasa,Finland,"Finnish, Swedish ",0,B2,3.5,1050,20,10440,10440,9/13,694,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:14,,https://www.uwasa.fi/en 
Hanken School of Economics,Finland,"Swedish, English",6.5,B2,2.5,0,19.5,13920,13920,Consistently ranked among the top business schools in Finland and the Nordic region.,Not listed.,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:11,,https://www.hanken.fi/en
University of Lapland,Finland,"Swedish, English",6.5,B2,3.0,0,14.5,11600,11600,11/13,Not listed.,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:15,,https://www.ulapland.fi/EN 
University of the Arts Helsinki,Finland,"Finnish, Swedish, English",6.0,B2,0,0,10,13920,13920,"As a specialized arts university, Uniarts Helsinki is not included in general national rankings. However, its individual academies and programs are consistently ranked as the best in the country in their respective fields.","University Rankings 2024 (by subject): The Sibelius Academy (music) was ranked 9th in the world for the performing arts, and its art and design programs were ranked in the top 260. The university is not included in the main world university rankings.","Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:2,,https://www.uniarts.fi/en 
Université Paris-Saclay,France,"French, English",6.0,B2,2.7,0,16,197,197,1/72,70,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,15:1,,https://www.universite-paris-saclay.fr/en 
PSL Research University (Paris Sciences & Lettres),France,"French, English",6.5,B2,3.0,0,12.5,3330,3330,1/72,28,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:6,,https://psl.eu/en
Sorbonne University,France,French,6.5,0,3.5,0,24,3358,3358,5/72,72,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:8,,https://www.sorbonne-universite.fr/en 
Université Paris Cité,France,"French, English",6.5,B2,0,0,5,3358,3358,3/72,300,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:9,,https://u-paris.fr/en
École Polytechnique (part of Institut Polytechnique de Paris),France,"French, English",6.5,B2,3.0,0,10,13920,13920,1/72 (Engineering),41,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,5:1,,https://www.polytechnique.edu/en
Sciences Po (Paris Institute of Political Studies),France,French,0,B2,3.5,0,14,14900,14900,2/72,367,"Yes, but very limited and highly competitive for non-EU/EEA students. ",Public,1:6,,https://www.sciencespo.fr/en 
École Normale Supérieure (ENS Paris),France,French,0,C1,3.5,0,3.5,295,295,1/72,28,"Yes, but extremely competitive. ENS Paris offers the International Selection Scholarship, which is a highly prestigious and lucrative program. It provides a monthly stipend of ~$1,508 USD (€1,300 EUR) for a 3-year study period. The university also participates in the Eiffel Excellence Scholarship program.",Public,1:4,,https://www.ens.psl.eu/en
Université Grenoble Alpes,France,"French, English",6.5,B2,3.0,0,15,3358,3358,4/72,321,"Yes, but limited and highly competitive.",Public,15:1,,https://www.univ-grenoble-alpes.fr/en 
Aix-Marseille University,France,"French, English",6.0,B2,3.0,0,20,3358,3358,9/72,428,"Yes, but limited and highly competitive.",Public,18:1,,https://www.univ-amu.fr/en 
University of Bordeaux,France,French,0,B2,3.0,0,14.5,3358,3358,14/72,494,"Yes, but limited and highly competitive.",Public,16:1,,https://www.u-bordeaux.fr/en 
University of Strasbourg,France,"French, English", 6.5,B2,0,0,15.5,3358,3358,7/72,420,"Yes, but limited and highly competitive.",Public,10:1,,https://en.unistra.fr/
"University of Lyon (often grouped as Université de Lyon, Claude Bernard University Lyon 1)",France,"French, English",6.5,B2,3.0,0,17.5,3358,3358,11/72,562,"Yes, but limited and highly competitive.",Public,15:1,,https://www.univ-lyon1.fr/en 
University of Toulouse (often grouped as Université de Toulouse),France,French,0,B2,3.2,0,17.5,3358,3358,12/72,501-550,"Yes, but limited and highly competitive.",Public,15:1,,https://www.univ-tlse3.fr/home/admissions
University of Lille,France,French,0,B2,3.0,0,27,3358,3358,15/72,721-730,"Yes, but limited and highly competitive.",Public,31:1,,https://www.univ-lille.fr/en
University of Nantes,France,French,0,B2,2.0,0,87,3358,3358,20/72,851-900,"Yes, but limited and highly competitive.",Public,23:1,,https://english.univ-nantes.fr/
CY Cergy Paris University,France,French,0,B2,0,0,37.5,3347,3358,21/72,951-1000,"Yes, but limited and highly competitive.",Public,10:1,,https://www.cyu.fr/en
Université Panthéon-Sorbonne (Paris 1),France,French,0,B2,3.0,0,18.5,295,295,The university is highly ranked in specific fields rather than by a single overall ranking. It is consistently placed in the top 5 in France for its law and social science programs,257,"Yes, but limited and highly competitive.",Public,15:1,,https://international.pantheonsorbonne.fr/en
Télécom Paris (part of Institut Polytechnique de Paris),France,French,0,B2,3.0,0,9,17400,17400,1st-5th in France,41,"Yes, but limited and highly competitive.",Public,11:1,,https://www.telecom-paris.fr/en
CentraleSupélec (part of Université Paris-Saclay),France,French,0,B2,3.0,0,9,2900,2900,2/72,71,"Yes, but limited and highly competitive.",Public,9:1,,https://www.centralesupelec.fr/en 
Emlyon Business School,France,"French, English",6.5,B2,2.5,0,12.5,22500,22500,Consistently ranked as a Top 5 French Business School by national publications like Le Figaro and L'Etudiant.,44,"Yes, but limited and highly competitive.",Private,11:1,,https://www.em-lyon.com/en
HEC Paris,France,"French, English",7.0,B2,3.0,0,18,27370,94220,#1 Business School in France,Global MBA Ranking 2025: 9th globally.,"Yes, but limited and highly competitive.",Private,13:1,,https://www.hec.edu/en
ESSEC Business School,France,"French, English",6.5,B2,3.0,0,12.5,23200,56380,Consistently ranked as a Top 3 French Business School by national publications like L'Étudiant and Le Figaro.,Global MBA Ranking 2025: 47th globally.,"Yes, but limited and highly competitive.",Private,11:1,,https://www.essec.edu/en/ 
EDHEC Business School,France,"French, English",6.5,B2,3.0,0,12.5,24360,59980,Consistently ranked as a Top 5 French Business School by national publications like L'Étudiant and Le Figaro.,Global MBA Ranking 2025: 57th globally.,"Yes, but limited and highly competitive.",Private,8:1,,https://www.edhec.edu/en/
NEOMA Business School,France,"French, English",6.0,B2,3.0,0,40,13920,32600,7th in France (Le Point 2025 Master in Management ranking).,Financial Times Master in Finance Ranking 2025: 24th globally,"Yes, but limited and highly competitive. The school offers several merit-based and excellence scholarships for international students, with awards ranging from €2,500 to €4,000. Students are also eligible for the Eiffel Excellence Scholarship and other external grants.",Private,31:1,,https://www.neoma-bs.com/en/
SKEMA Business School,France,"French, English",6.0,B2,3.0,0,32,16240,26200,"Consistently ranked as a Top 10 French Business School. For its Programme Grande École, it is ranked 6th in France in 2025 by Le Point.",Financial Times Master in Finance Ranking 2025: 2nd globally.,"Yes, but limited and highly competitive. The school offers several merit-based scholarships (e.g., Excellence Scholarships) with awards ranging from €2,000 to €4,000. Students can also apply for external scholarships.",Private,31:1,,https://www.skema.edu/en/ 
Audencia Business School,France,"French, English",6.5,B2,3.0,0,12.5,8120,8990,Consistently ranked as a Top 10 French Business School by national publications. Ranked 8th in France for its Grande École program by Le Point and L'Étudiant.,Financial Times Master in Management Ranking 2024: 11th globally.,"Yes, but limited and highly competitive. The school offers merit-based scholarships (e.g., Early Application Scholarship for up to 50% reduction) and need-based scholarships. Students are also eligible for the Eiffel Excellence Scholarship and other external grants.",Private,22:1,,https://www.audencia.com/en/ 
Technical University of Munich (TUM),Germany,"German, English",6.5,C1,3.0,0,9,148,148,Consistently ranked as the #1 technical university in Germany and the #1 university in the European Union,22,"Yes, but limited and highly competitive.",Public,42:1,,https://www.tum.de/en/
Ludwig Maximilian University of Munich (LMU),Germany,German,0,C1,3.0,0,10,100,100,1/400+,58,"Yes, but limited and highly competitive.",Public,10:1,,https://www.lmu.de/en/
Heidelberg University,Germany,German,0,C1,3.0,0,12.5,3854,3854,3/400+,80,"Yes, but limited and highly competitive.",Public,9:1,,https://www.uni-heidelberg.de/en/ 
RWTH Aachen University,Germany,German,0,C1,2.5,0,10,348,348,5/400+,105,"Yes, but limited and highly competitive.",Public,16:1,,https://www.rwth-aachen.de/en/
Humboldt University of Berlin,Germany,German,0,C1,3.2,0,18,365,365,5/400+,130,"Yes, but limited and highly competitive.",Public,13:1,,https://www.hu-berlin.de/en/ 
Free University of Berlin,Germany,German,0,C1,3.0,0,18,365,365,3/400+,88,"Yes, but limited and highly competitive.",Public,13:1,,https://www.fu-berlin.de/en/ 
Technical University of Berlin (TU Berlin),Germany,German,0,C1,3.2,0,12.5,365,365,4/400+,145,"Yes, but limited and highly competitive.",Public,24:1,,https://www.tu.berlin/en/ 
Karlsruhe Institute of Technology (KIT),Germany,German,0,C1,3.0,0,27.5,3854,3854,4/400+,98,"Yes, but limited and highly competitive.",Public,9:1,,https://www.kit.edu/english/
University of Freiburg,Germany,German,0,C1,2.5,0,12.5,3584,3854,9/400+,201,"Yes, but limited and highly competitive.",Public,16:1,,https://www.uni-freiburg.de/en/
University of Tübingen,Germany,German,0,C1,2.8,0,18,3854,3854,Ranked 1st in Germany for Arts & Humanities and 1st for Archaeology. It is consistently in the top 10 universities in the country.,215,"Yes, but limited and highly competitive.",Public,20:1,,https://uni-tuebingen.de/en/ 
University of Bonn,Germany,German,0,C1,3.0,0,36,742,742,5/400+,207,"Yes, but limited and highly competitive.",Public,8:1,,https://www.uni-bonn.de/en/
University of Göttingen,Germany,German,0,C1,3.0,0,32,964,964,6/400+,243,"Yes, but limited and highly competitive.",Public,9:1,,https://www.uni-goettingen.de/en/ 
University of Hamburg,Germany,German,0,C1,3.0,0,19,852,852,9/400+,193,"Yes, but limited and highly competitive.",Public,9:1,,https://www.uni-hamburg.de/en.html 
University of Cologne,Germany,German,0,C1,3.0,0,20,766,766,17/400+,272,"Yes, but limited and highly competitive.",Public,1:28,,https://www.uni-koeln.de/en/ 
Goethe University Frankfurt,Germany,German,0,C1,3.0,0,19,730,730,10/400+,316,"Yes, but limited and highly competitive.",Public,9:1,,https://www.uni-frankfurt.de/en/
Dresden University of Technology (TU Dresden),Germany,German,0,C1,3.0,0,20,796,796,16/400+,218,"Yes, but limited and highly competitive.",Public,9:1,,https://tu-dresden.de/stadium
University of Münster,Germany,"German, English",6.0,C1,2.5,0,15,99860,9860,14/400+,350,"Yes, but limited and highly competitive.",Public,8:1,,https://www.uni-muenster.de/en/
University of Stuttgart,Germany,German,0,C1,2.8,0,20,3920,3920,11/400+,310,"Yes, but limited and highly competitive.",Public,9:1,,https://www.uni-stuttgart.de/en/
Johannes Gutenberg University Mainz,Germany,German,0,C1,3.0,0,30,696,696,13/400+,452,"Yes, but limited and highly competitive.",Public, 7:1,,https://www.uni-mainz.de/en/
Ruhr University Bochum,Germany,German,0,C1,3.0,0,36,754,754,23/400+,395,"Yes, but limited and highly competitive.",Public,13:1,,https://www.ruhr-uni-bochum.de/en/
University of Erlangen-Nuremberg,Germany,German,0,C1,3.0,0,46,168,168,18/400+,332,"Yes, but limited and highly competitive.",Public,9:1,,https://www.fau.eu/
University of Konstanz,Germany,German,0,C1,3.0,0,35,3898,3898,23/400+,440,"Yes, but limited and highly competitive.",Public,9:1,,https://www.uni-konstanz.de/en/ 
Leipzig University,Germany,German,0,C1,3.0,0,33,650,650,21/400+,535,"Yes, but limited and highly competitive.",Public,9:1,,https://www.uni-leipzig.de/en 
