University Name,Country,Language of teaching,"Minimum IELTS score
(or average)","Minimum GPA 
(or average)","Minimum SAT score
(or average)",Acceptance rate (%),"Cost per year 
for interational students","Cost per year 
for local students","National ranking","Global ranking",Scholarship (yes/no),"Public/Private","Student to faculty ratio",Link to official website
Institute of Science and Technology Austria (ISTA),Austria,English,"Not explicitly stated (7,0+ IELTS score recommended)","strong academic record is essential (3,0+ on a 4,0 scale at PhD applicants)",Not typically required,4% in 2021,"No tuition fees are charged. (Gross salaries for 2025 range from €2,993 to €3,601 per month)",No tuition fees are charged,12/62,1043,yes,Public,1:4.2,https://www.ista.ac.at/en/
University of Veterinary Medicine Vienna,Austria,German,6.5,Not a universally stated,Not typically required,15-20%,"$1,680 + $57 student union fee",only $57 student union fee,14/62,1270,yes,Public,1:3.4,https://www.vetmeduni.ac.at/en/
Sigmund Freud University Vienna,Austria,"German, English",6.0,Not a universally stated,Not typically required,60%,"Bachelor's: $16,100 - $20,184                           Master's: $17,400 - $20,184                        Doctorate: $11,535 - $13,223",Same as international students.,Not widely featured,Not consistently ranked,yes,Private,Not explicitly published as a ratio.(small class sizes),https://www.sfu.ac.at/en/
University of Applied Arts Vienna,Austria,German,6.0,Not a universally stated,Not typically required,0-10%,"$1,680 + $57 student union fee",only $57 student union fee,Not typically featured,by Subject (Art & Design) 2025: Ranked within the top 100 globally,yes,Public,Not explicitly published as a fixed ratio,https://www.dieangewandte.at/
Academy of Fine Arts Vienna,Austria,German,6.5+,Not a universally stated,Not typically required,0-10%,"$1,680 + $57 student union fee",only $57 student union fee,Not typically featured (leading fine arts institution in Austria),by Subject (Art & Design) 2025: Ranked within the top 100 globally,yes,Public,1:26.5,https://www.akbild.ac.at/
KU Leuven (Katholieke Universiteit Leuven),Belgium,"Dutch, English",6.5,Not a universally stated,For some Bachelor's programs SAT score of 640 might be required,73%,"Bachelor's (English-taught): $6,728                 Master's programs: $2,030 - $10,440","$1,342",1/104,60,yes,Public,1:5,https://www.kuleuven.be/english/kuleuven
Ghent University (Universiteit Gent),Belgium,Dutch,6.0 or 7.0,2.5 on a 4.0 GPA scale,Not typically required,34%,"For Master's programs: $8,038                                     Some specific advanced Master's programs or faculties may have higher fees, potentially up to $8,721.58","Bachelor's/Master's: $1,342",2/104,162,yes,Public,1:5,https://www.ugent.be/en
Université catholique de Louvain (UCLouvain),Belgium,Predominantly French,6.5,Not a universally stated,Not typically required,20-30%,"Bachelor's and Master's programs: $4,843","Bachelor's/Master's: $1,295",3/104,189,yes,Public,1:10,https://uclouvain.be/en
Université libre de Bruxelles (ULB),Belgium,Primarily French for Bachelor's programs. Master's and PhD programs are taught entirely in English.,6.5,2.9/4.0 (or 70%) is sometimes cited for certain diploma equivalencies.,"For some Bachelor's programs an SAT score of minimum 1200/1600 (Math 600, EBRW 600) might be required",20-30%,"Standard Master's/Bachelor's: $5,811.60               Exempted non-EU citizens: $968.60",Standard Bachelor's/Master's: $968.60,4/104,233,yes,Public,1:10-1:12,https://www.ulb.be/en
Vrije Universiteit Brussel (VUB),Belgium,Primarily Dutch,6.5,"some programs suggest above-average grades, equivalent to a GPA of minimum 3.0 out of 4.0",Not typically required,22%,"$5,800 - $13,920                Many Master's programs for non-EEA students are around $5,800","$1,294",7/104,294,yes,Public,1:7,https://www.vub.be/en
University of Antwerp (Universiteit Antwerpen),Belgium,Many Bachelor's programs are in Dutch. Master's and PhD programs are taught entirely in English.,6.5,A GPA of around 2.5 on a 4.0 scale is sometimes cited as a general expectation for a competitive applicant.,Not typically required,20-30%,"$1,392 - $9,280","$1,342",5/104,297,yes,Public,1:14,https://www.uantwerpen.be/en/
Université de Liège,Belgium,Primarily French for Bachelor's programs. Master's and PhD programs are taught entirely in English.,6.0,A minimum percentage of 75% in previous studies is sometimes mentioned for a good chance of admission.,Not typically required,75%,"$4,843",$968,6/104,379,yes,Public,1:7,https://www.uliege.be/cms/c_8741341/en/accueil-en
Hasselt University,Belgium,Many Bachelor's programs are in Dutch. Master's and PhD programs are taught entirely in English.,6.5,A GPA of 2.5 on a 4.0 scale is sometimes cited as a general expectation for a good chance of admission.,Not typically required,60%,"$1,392 - $9,280","$1,342",8/104,597,yes,Public,1:5,https://www.uhasselt.be/en
University of Mons,Belgium,Predominantly French for most Bachelor's programs. A good number of Master's and PhD programs are taught in English,5.5 - 6.5,A GPA of around 2.5 on a 4.0 scale is sometimes suggested as a general guideline.,Not typically required,60%,"$4,843",$968,9/104,1000+,yes,Public,1:9,https://web.umons.ac.be/en/
University of Namur,Belgium,Primarily French for most Bachelor's programs. Some Master's programs are taught entirely in English,6.0-6.5,Not a specific GPA minimum.,Not typically required,No specific official acceptance rate is published.,"$4,843",$968,10/104,801-850,yes,Public,1:20,https://www.unamur.be/en
University of Zagreb,Croatia,Primarily Croatian,6.0 - 6.5,"For the Croatian system, a minimum average of 3 out of 5, 8 out of 10, or ""Dobar"" (Good) is generally expected.",Optional for undergraduate applicants. a score of 600 or higher on the Evidence-Based Reading and Writing section of the SAT can be used to demonstrate English proficiency.,55%,"$2,354 USD to $5,886 USD","$1,313",1/14,701-710,yes,Public,1:9,https://www.unizg.hr/homepage/
University of Split,Croatia,Primarily Croatian,6.5,"Not a specific GPA minimum for all programs, but a strong academic background is required. a minimum GPA of 2.0 on a 4.0 scale to ""stand a good chance"" for admission","Not a universally stated requirement for admission. For English proficiency, an average entrance score of SAT 600 is sometimes mentioned",87%,"$2,115 - $13,947 for Bachelor's.                  $1,294 - $4,640 for Master's","$0 to $2,320",2/14,1201-1400,yes,Public,1:17 - 1:20,https://www.unist.hr/eng
University of Rijeka,Croatia,Primarily Croatian,6.0,"Not a specific GPA minimum for all programs, but a good academic record is essential. a minimum GPA of 2.0 on a 4.0 scale or a minimum percentage of 55% to have a good chance of admission.","For some programs or for English proficiency demonstration, an average SAT score of 1270 has been accepted in the past",89%,"$2,900 for most of Bachelor's,  $3,480 for Master's.  Specialized programs like Medical Studies in English have significantly higher fees, typically around $13,920 - $14,500","$0 to approximately $2,320",3/14,1201-1400,yes,Public,1:23,https://uniri.hr/en/
Josip Juraj Strossmayer University of Osijek,Croatia,Primarily Croatian,6.0 - 6.5,a minimum GPA of 2.0 on a 4.0 scale or an average academic score of 55% to have a good chance of admission.,Not typically required,65%,"$1,450 - $2,320 for Bachelor's and $1,160 USD to $3,480 for Master's","$0 to approximately $2,320",4/14,1201-1400,yes,Public,1:13,https://www.unios.hr/en/
University of Zadar,Croatia,Primarily Croatian,5.5 - 6.5.,"a minimum GPA of 2.0 on a 4.0 scale or a minimum percentage of 55% to ""stand a good chance"" for admission.",Not typically required,87%,"$5,000",a minimum of $375,5/14,1201-1400,yes,Public,1:14,https://www.unizd.hr/eng/
University of Dubrovnik,Croatia,Primarily Croatian,6.0 - 6.5,an Average Academic Score of 2.5 on a 4.0 scale or 88%.,Not typically required,88%,"$1,276 USD to $12,080 USD","Mastersportal lists some Master's programs at ~$3,529 USD per year. Master's programs for EU/EEA students in Croatia can range from $0 to $2,320 USD",3/14,1000-1500,yes,Public,1:6,https://www.unidu.hr/eng
Juraj Dobrila University of Pula,Croatia,Primarily Croatian,5.0 - 6.0,a GPA of 2.5 on a 4.0 scale is considered a good academic standing for admission.,Not typically required,No specific official acceptance rate is published.,"$1,160 USD to $12,080 USD","$0 to approximately $1,540 USD",6/14,1401+,yes,Public,1:15,https://www.unipu.hr/en
Catholic University of Croatia,Croatia,Primarily Croatian,6.5,B' average or a 3.00 GPA on a 4.00 scale.,Not typically required,83%,"$3,169 - $3,712","$3,169 - $3,712",10/14,6637,yes,Private,1:11.,https://www.unicath.hr/en
University North,Croatia,Primarily Croatian,6.0 - 6.5,Not a universally stated minimum GPA.,Not typically required,No specific official acceptance rate is published.,"$1,450 USD to $3,480 USD","$0 to approximately $2,320 USD",7/14,1501+,yes,Public,1:18,https://www.unin.hr/en/
Zagreb School of Economics and Management (ZSEM),Croatia,Primarily English,6.0,Not a universally stated minimum GPA.,Not typically required,Under 45%,"$6,919 USD to $9,280 USD for Bachelor's. $12,000 - $18,000 USD for Master's","$6,919 USD to $9,280 USD for Bachelor's. $12,000 - $18,000 USD for Master's",1/14,Rankings 2022: Ranked within the TOP 200 globally and TOP 60 in Europe,yes,Private,Highly favorable.,https://zsem.hr/en/
VERN' University,Croatia,Primarily Croatian,6.5,an Average Academic Score of 88% or a GPA of 2.5 on a 4.0 scale for a good chance of admission.,Not typically required,77%,"$5,800 USD for Bachelor's and $3,000 to $6,780 USD per year for Master's programs","$5,800 USD for Bachelor's and $3,000 to $6,780 USD per year for Master's programs","As a private institution, VERN' is not typically included in the same national rankings as public universities",not listed in major global rankings,yes,Private,1:9,https://www.vernuni.eu/
University of Cyprus,Cyprus,Primarily Greek,6.5,B' average or a 3.00 GPA on a 4.00 scale (recommended),Optional for undergraduate applicants. An average accepted SAT score of 1200-1300 might be benefical,"No official overall acceptance rate is publicly disclosed. An unofficial ""admission chance"" of 60%.","$7,928","$3,964",1/29,452,yes,Public,1:20,https://www.ucy.ac.cy/en/
Cyprus University of Technology,Cyprus,Primarily Greek.,6.5,"A minimum percentage of 60% to ""stand a good chance"" for admission.",Not typically required,"No official overall acceptance rate is publicly disclosed. An unofficial ""admission chance"" of 60%.","$9,450 (some Master's programs from ~$2,009 USD to $5,646 USD)","$3,964",2/29,601-800,yes,Public,1:12.6,https://www.cut.ac.cy/?languageId=1
University of Nicosia,Cyprus,Primarily English.,5.5 - 6.0,Not a universally stated minimum GPA.,Not typically required,90-100%,"$9,280 USD to $10,440 USD for undergraduate programms. Medical programs are higher: initial 3 years ~$19,295 USD; final 3 years ~$23,583 USD. Master's programs typically range from $11,600 USD to $13,920 USD","$9,280 USD to $10,440 USD for undergraduate programms. Medical programs are higher: initial 3 years ~$19,295 USD; final 3 years ~$23,583 USD. Master's programs typically range from $11,600 USD to $13,920 USD",1-2/29,501-600,yes,Private,"Not explicitly stated in a single clear ratio, but UNIC hosts more than 12,500 students from over 100 countries.",https://www.unic.ac.cy/
European University Cyprus,Cyprus,Primarily English,6.0 - 6.5,"an average GPA of 2.5 on a 4.0 scale or a ""minimum percentage"" of 60% to stand a good chance.",Not typically required,60%,"Bachelor's programs generally range from $10,438 USD to $12,404 USD per year. Master's programs typically range from $10,065 USD to $10,438 USD per year. Specialized programs like Medicine and Dental Surgery are significantly higher, around $23,723 USD to $24,700 USD per year.","Bachelor's programs generally range from $10,438 USD to $12,404 USD per year. Master's programs typically range from $10,065 USD to $10,438 USD per year. Specialized programs like Medicine and Dental Surgery are significantly higher, around $23,723 USD to $24,700 USD per year.",1/29,801-1000,yes,Private,1:14.2,https://euc.ac.cy/en/
Frederick University,Cyprus,Primarily English,5.5 - 6.5,Not a universally stated minimum GPA.,Not typically required,No official overall acceptance rate is publicly disclosed.,"Bachelor's programs generally range from ~$9,280 USD to $11,600 USD (€8,000 - €10,000 EUR) per year. Master's programs are often in a similar range or slightly higher. PhD programs can be $4,640 USD to $6,960 USD","Bachelor's programs generally range from ~$9,280 USD to $11,600 USD (€8,000 - €10,000 EUR) per year. Master's programs are often in a similar range or slightly higher. PhD programs can be $4,640 USD to $6,960 USD",Recognized among the top universities in Cyprus,1001-1200,yes,Private,1:10,https://www.frederick.ac.cy/en/
Neapolis University Pafos,Cyprus,Primarily English,5.5 - 6.0,Not a universally stated minimum GPA.,"SAT Evidence-Based Reading and Writing (EBRW) score can be used to demonstrate English proficiency, with specific minimum scores accepted (e.g., 530 for B1 level proficiency).",70-80%,"Bachelor's programs generally range from ~$3,480 USD to $17,400 USD. Master's programs generally range from ~$5,800 USD to $11,600 USD. Doctoral programs can be ~$8,120 USD or higher.","Bachelor's programs generally range from ~$3,480 USD to $17,400 USD. Master's programs generally range from ~$5,800 USD to $11,600 USD. Doctoral programs can be ~$8,120 USD or higher.",Ranked among the top universities in Cyprus,"6,998th globally (based on H-index of its scientists). Not consistently listed in major overall global rankings",yes,Private,1:10 - 1:12,https://www.nup.ac.cy/
Open University of Cyprus,Cyprus,Primarily Greek,5.5 - 6.5,Not a universally stated minimum GPA.,Not typically required,No official overall acceptance rate is publicly disclosed.,"Tuition fees are generally calculated per European Credit Transfer and Accumulation System (ECTS) credit. Fees start from ~$3,050 USD per year for Master's programs.","Tuition fees are generally calculated per European Credit Transfer and Accumulation System (ECTS) credit. Fees start from ~$3,050 USD per year for Master's programs.",3rd rank among public universities in Cyprus based on H-index in AD Scientific Index,"AD Scientific Index 2025: 1,927th globally (based on H-index for public universities) and 3,405th globally (overall for all types of institutions).",yes,Public,Not explicitly published as a fixed ratio,https://www.ouc.ac.cy/index.php/en/
Eastern Mediterranean University (Northern Cyprus),Cyprus,Primarily English ,6.5,"Undergraduate: Competitive basis, generally requires a strong high school leaving certificate. Graduate: Cumulative GPA minimum 2.50/4.00 (or 75/100) for Master's. Some programs or scholarships may require a higher GPA","Not a universal requirement, but may be required for some departments to demonstrate mathematics proficiency",No official overall acceptance rate is publicly disclosed.,"EMU offers a significant 80% scholarship for most undergraduate programs.
- Most Undergraduate Programs (after 80% scholarship): ~$4,124 USD/year.
- Engineering Programs (after 80% scholarship): ~$4,334 USD/year.
- Pharmacy (M.Pharm & Pharm.D, after 80% scholarship): ~$5,280 USD/year.
- Dentistry (after 50% scholarship): ~$10,270 USD/year.
- Medicine (M.D., after 50% scholarship): ~$14,204 USD/year.
- Master's Programs (after up to 50% scholarship): ~$5,800 - $6,250 USD total for non-thesis/thesis options.
- PhD Programs (total cost, after 50% scholarship): ~$24,016 USD.","Fees for Turkish/TRNC citizens may differ from international students. However, the provided scholarship rates for international students often make the effective fees highly competitive, sometimes similar to or even lower than fees for domestic students in some countries.","Ranked #2 in Cyprus, #1 in Northern Cyprus ",611-620,yes,Public,1:19,https://www.emu.edu.tr/en/
Near East University (Northern Cyprus),Cyprus,Primarily English ,"5.5 (Undergraduate), 6.5 (Master's/PhD)",Undergraduate: Requires a valid High School Diploma or equivalent. Graduate: Requires a Bachelor's Degree with relevant transcripts,Not generally required for all programs. ,No official overall acceptance rate is publicly disclosed.,"For AY 2025-2026 (after typical 50% scholarship):
- Most Undergraduate Programs: ~$3,690 USD (€3,190 EUR)
- Faculty of Pharmacy: ~$5,526 USD (€4,764 EUR)
- Faculty of Dentistry (English Program): ~$14,210 USD (€12,250 EUR) (without standard scholarship)
- Faculty of Medicine (M.D.): ~$15,637 USD (€13,480 EUR) (without standard scholarship)
- Most Master's Programs: ~$3,495 USD (€3,016 EUR)
- Most PhD Programs: ~$3,495 USD (€3,020 EUR)","For AY 2025-2026 (after typical 50% scholarship):
- Most Undergraduate Programs: ~$3,690 USD (€3,190 EUR)
- Faculty of Pharmacy: ~$5,526 USD (€4,764 EUR)
- Faculty of Dentistry (English Program): ~$14,210 USD (€12,250 EUR) (without standard scholarship)
- Faculty of Medicine (M.D.): ~$15,637 USD (€13,480 EUR) (without standard scholarship)
- Most Master's Programs: ~$3,495 USD (€3,016 EUR)
- Most PhD Programs: ~$3,495 USD (€3,020 EUR)",#1 in Northern Cyprus,601-800,yes,Private,1:22,https://neu.edu.tr/en/
Cyprus International University (Northern Cyprus),Cyprus,Primarily English ,5.5,Not a universally stated minimum GPA.,Not generally required for all programs. ,No official overall acceptance rate is publicly disclosed.,"For AY 2024-2025 (after typical scholarships):
- Most Undergraduate Programs (after 50% scholarship): ~$3,595 USD (€3,099 EUR)
- Medical Programs (e.g., Medicine, Dentistry) have significantly higher fees, e.g., Dentistry ~$6,380 USD (€5,500 EUR), Medicine ~$7,540 USD (€6,500 EUR) (these may reflect a lower scholarship percentage).
- Master's Programs (total fee after scholarship): ~$3,300 USD (€2,847 EUR) to ~$4,060 USD (€3,500 EUR) (e.g., $2,847 USD for a Master's program total, then ~550 EUR per course plus registration fees).
- PhD Programs (total fee after scholarship): ~$6,960 USD (€6,000 EUR).","For AY 2024-2025 (after typical scholarships):
- Most Undergraduate Programs (after 50% scholarship): ~$3,595 USD (€3,099 EUR)
- Medical Programs (e.g., Medicine, Dentistry) have significantly higher fees, e.g., Dentistry ~$6,380 USD (€5,500 EUR), Medicine ~$7,540 USD (€6,500 EUR) (these may reflect a lower scholarship percentage).
- Master's Programs (total fee after scholarship): ~$3,300 USD (€2,847 EUR) to ~$4,060 USD (€3,500 EUR) (e.g., $2,847 USD for a Master's program total, then ~550 EUR per course plus registration fees).
- PhD Programs (total fee after scholarship): ~$6,960 USD (€6,000 EUR).",Ranked among the top universities in Northern Cyprus and within Cyprus.,601-800,yes,Private,1:20,https://ciu.edu.tr/en/
Girne American University (Northern Cyprus),Cyprus,Primarily English ,For most undergraduate programs: IELTS Academic 5.0 - 5.5. For Master's programs: IELTS Academic 5.5 - 6.0.,Undergraduate: Requires 12 years of full-time school education and evidence of the required level of academic performance. Bachelor's diploma with a minimum 2.25/4.00 CGPA,"Not a general requirement for all programs, but can be used to demonstrate English proficiency (e.g., SAT Writing: Min 340-350, Reading: Min 400-410, Total: Min 740-760).",No official overall acceptance rate is publicly disclosed.,"For AY 2025-2026 (after automatic 50% scholarship for most programs):
- Most Undergraduate Programs: ~$3,828 - $4,640 USD/year (€3,300 - €4,000 EUR/year). (e.g., Business, Engineering, Health Sciences, Nursing, Tourism: €4,000 EUR; Business, Communication, Education, Humanities, Political Sciences, Sport Sciences: €3,850 EUR).
- Pharmacy: ~$6,380 USD/year (€5,500 EUR/year).
- Medicine: ~$7,540 USD/year (€6,500 EUR/year).
- Master's Programs: ~$4,640 USD/year (€4,000 EUR/year).
- PhD Programs: ~$7,250 USD/year (€6,250 EUR/year).","For AY 2025-2026 (after automatic 50% scholarship for most programs):
- Most Undergraduate Programs: ~$3,828 - $4,640 USD/year (€3,300 - €4,000 EUR/year). (e.g., Business, Engineering, Health Sciences, Nursing, Tourism: €4,000 EUR; Business, Communication, Education, Humanities, Political Sciences, Sport Sciences: €3,850 EUR).
- Pharmacy: ~$6,380 USD/year (€5,500 EUR/year).
- Medicine: ~$7,540 USD/year (€6,500 EUR/year).
- Master's Programs: ~$4,640 USD/year (€4,000 EUR/year).
- PhD Programs: ~$7,250 USD/year (€6,250 EUR/year).",Ranked among the top universities in Northern Cyprus.,"AD Scientific Index 2024: 17,858th globally. Not consistently listed in major overall global rankings",yes,Private,"Not explicitly stated with a precise number, but the university states it has ""one of the highest Ph. D. -to-student ratios""",https://www.gau.edu.tr/en/ 
The Cyprus Institute,Cyprus,Exclusively English. ,6.5,"Not a specific stated GPA, but admission is based on academic merit and a ""strong application.""",Not generally required for all programs. ,No official overall acceptance rate is publicly disclosed.,"For AY 2024-2025:
- Master's Degree Programs: ~$7,000 USD (total fee for the program, not per year, likely 12-18 months program).
- Doctorate Degree Programs: ~$12,000 USD (total fee for the program, likely 3 years).","For AY 2024-2025:
- Master's Degree Programs: ~$7,000 USD (total fee for the program, not per year, likely 12-18 months program).
- Doctorate Degree Programs: ~$12,000 USD (total fee for the program, likely 3 years).","As a specialized research institution, it is not typically ranked against traditional comprehensive universities in national lists in the same way.",Not consistently listed in major overall global university rankings ,yes,Public,Low student-faculty ratio,	https://www.cyi.ac.cy/
Charles University (Prague),Czechia,Primarily Czech,6.5,"a minimum GPA of 2.0 on a 4.0 scale for a ""good chance""","Optional for some programs/faculties (e.g., Faculty of Mathematics and Physics mentions SAT Total Score 1240, Math 690, or SAT Evidence-Based Reading and Writing 550 for English proficiency).",37%,"Bachelor's and Master's Programs: Generally $8,236 USD. PhD Programs: Fees are highly variable and sometimes covered by research grants or specific scholarships. Some PhD programs might have a fee of ~$2,900 - $5,800 USD. Medical Faculties: Can be significantly higher, e.g., Third Faculty of Medicine lists ~$12,760 USD","Generally $4,872 USD",1/70,265,yes,Public,1:11,https://cuni.cz/uken-1.html 
Masaryk University (Brno),Czechia,Primarily Czech,6.5,Not a universally stated minimum GPA.,Not typically required,58%,"Most Bachelor's programs in English: ~$3,256 USD to $4,549 USD per year. Master's programs in English: For example, English Language and Literature is ~$8,816 USD per academic year. Faculty of Medicine (General Medicine, 6-year program): Approximately ~$15,117 EUR for 2024-2025, which is ~$17,536 USD per year. ","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",2/70,430,yes,Public, 1:12.5,https://www.muni.cz/en/
Czech Technical University in Prague (CTU),Czechia,Primarily Czech,6.0,a minimum GPA of 2.0 on a 4.0 scale or a minimum percentage of 55% for a good chance of admission.,Not typically required,70%,"Bachelor's programs: ~$4,730 USD per academic year. Master's programs: ~$5,676 USD per academic year. Doctoral programs: ~$43 USD per academic year.","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",3/70,189,yes,Public,1:8,https://www.cvut.cz/en/ 
Palacký University Olomouc,Czechia,Primarily Czech,6.0 - 6.5,a minimum percentage of 55% in previous studies for a good chance of admission.,Not typically required,35%,"Medicine (6-year program): ~$14,700 USD. Dentistry (5-year program): ~$16,450 USD. Master's programs (e.g., Development Studies): ~$3,248 USD. Czech for Foreigners (one-year course): ~$4,060 USD.","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",3/70,668,yes,Public,1:14,https://www.upol.cz/en/ 
Brno University of Technology,Czechia,Primarily Czech,6.0 - 6.5,a minimum GPA of 2.0 on a 4.0 scale or a minimum percentage of 55% for a good chance of admission.,Not typically required,61%,"Bachelor's Programs (e.g., Electrical Engineering, Communications & Networking): ~$1,160 USD. Master's Programs (e.g., Electrical Engineering, Communications & Networking): ~$1,160 USD. PhD Programs (e.g., Electronics and Information Technologies): ~$2,900 USD. Some faculties like Business and Economics (FBM) could be around ~$3,712 USD","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",4/70,575,yes,Public,a low student-to-academic staff ratio,https://www.vut.cz/en/
"University of Chemistry and Technology, Prague",Czechia,Primarily Czech,6.0,"a minimum GPA of 2.0 on a 4.0 scale for a ""good chance"" of admission.",Not typically required,72%,"Most Bachelor's programs (e.g., Chemistry and Technology): ~$3,276 USD. Master's programs (e.g., Fuel Cells and Hydrogen Engineering): ~$3,276 USD. PhD programs: ~$3,276 USD. Preparatory Program: ~$5,259 USD per year. ","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",8/70,638,yes,Public,1:20,"https://www.vscht.cz/en/  (Main portal), https://study.vscht.cz/  (Prospective students portal) "
Czech University of Life Sciences Prague,Czechia,Primarily Czech,6.5 - 7.0,Not a universally stated minimum GPA.,"Not generally required for admission. However, a SAT score of 1400+ is explicitly mentioned as a requirement for some 100% tuition fee scholarships",57%,"Most Bachelor's programs (e.g., Business Administration, Economics and Management, Informatics): ~$596 USD. Some specialized Bachelor's programs (e.g., Forestry): ~$1,907 USD. Master's programs: Tuition fees are generally in the range of ~$600 - $4,600 USD. PhD programs: Often have lower or no tuition fees if a scholarship is granted. ","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",3/70,761-770,yes,Public,1:18,https://www.czu.cz/en/
University of Ostrava,Czechia,Primarily Czech,6.5,"a minimum GPA of 2.0 on a 4.0 scale or a minimum percentage of 55% for a ""good chance"" of admission.",Not typically required,75%,"Bachelor's Programs: Range from ~$3,954 - $4,503 USD. Master's Programs (e.g., English Philology, Philosophy): ~$766 USD. For other Masters, similar to Bachelor's, roughly ~$4,500 USD. PhD Programs (e.g., English Philology, Philosophy): ~$766 USD. ","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",11/70,1201-1400,yes,Public,1:21.6,https://www.osu.eu/en/ 
Technical University of Liberec,Czechia,Primarily Czech,5.0 - 6.0,Not a universally stated minimum GPA.,Not typically required,30-39%,"Bachelor's and Master's Programs: Generally ~$4,000 USD. PhD Programs: Generally ~$2,000 USD.","No tuition fees for programs taught in Czech. For English-taught programs, EU/EEA students pay the same tuition fees as international students.",10-15/70,1201-1400,yes,Public,1:16 to 1:20,https://www.tul.cz/en/ 
